id,customer_id,subject,message,status,date,admin_response
COMP20250822000634,C000002,مشكلة في الدفع,Xvdbdbdbsbscshhe,resolved,2025-08-22 00:06,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
COMP20250822002001,C000002,شكوى جديدة,Dbdbdbfsnsgegnwtnafbavqdbegndgmeg,resolved,2025-08-22 00:20,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
COMP20250822002346,C810563,شكوى جديدة,Svehrhtjfjfndbbd,resolved,2025-08-22 00:23,نحن نراجع طلبك بعناية وسنرد عليك خلال 24 ساعة. شكراً لصبرك.
COMP20250822002739,C810563,شكوى جديدة,Dbrhrhrjtn3yegneg,resolved,2025-08-22 00:27,سنتواصل معك قريباً عبر الهاتف أو الرسائل. شكراً لتواصلك معنا.
COMP20250822002833,C810563,شكوى جديدة,Evt2egsgsgsg,resolved,2025-08-22 00:28,نحن نراجع طلبك بعناية وسنرد عليك خلال 24 ساعة. شكراً لصبرك.
COMP20250822002917,C810563,شكوى جديدة,Svdhtjtjfndhsvsvsvdbrj,resolved,2025-08-22 00:29,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
COMP20250822003137,C810563,شكوى جديدة,Dbrbrhevwvwg,resolved,2025-08-22 00:31,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
COMP20250822003713,C810563,شكوى جديدة,Wvegehrb,resolved,2025-08-22 00:37,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
COMP20251115005303,C000002,شكوى جديدة,Vdfg,resolved,2025-11-15 00:53,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
COMP20251115010746,C168835,شكوى جديدة,Gdbfdjjh,resolved,2025-11-15 01:07,شكراً لتواصلك معنا. تم حل مشكلتك بنجاح ونعتذر عن أي إزعاج.
